Team,Conference,NET,Prev NET,Avg Opp NET Rank,Avg Opp NET,WL,Conf. Record,Non-Conference Record,Road WL,NET SOS,NET NonConf SOS,Quadrant 1,Quadrant 2,Quadrant 3,Quadrant 4,
Houston,Big 12,1,1,13,94,28-3,15-3,13-0,7-3,14,190,13-3,4-0,4-0,7-0,
Purdue,Big Ten,2,2,2,77,28-3,17-3,11-0,7-3,6,8,11-3,8-0,6-0,3-0,
UConn,Big East,3,3,81,123,28-3,18-2,10-1,8-3,28,62,11-3,7-0,1-0,9-0,
Arizona,Pac-12,4,4,11,91,24-7,15-5,9-2,7-4,48,13,8-3,6-3,8-1,2-0,
Tennessee,SEC,5,5,9,88,24-7,14-4,10-3,8-3,10,16,7-6,6-1,6-0,5-0,
Auburn,SEC,6,6,50,109,24-7,13-5,11-2,5-5,69,164,1-7,9-0,9-0,5-0,
North Carolina,ACC,7,7,12,93,25-6,17-3,8-3,8-2,25,22,7-4,6-2,7-0,5-0,
Alabama,SEC,8,8,2,77,21-10,13-5,8-5,5-5,4,17,3-9,8-1,7-0,3-0,
Iowa St.,Big 12,9,9,75,119,24-7,13-5,11-2,5-5,27,328,8-6,5-1,2-0,9-0,
Duke,ACC,10,10,58,112,24-7,15-5,9-2,7-4,68,111,5-4,6-3,7-0,6-0,
Creighton,Big East,11,11,41,106,23-8,14-6,9-2,8-5,20,54,8-6,7-2,1-0,7-0,
BYU,Big 12,12,12,67,115,22-9,10-8,12-1,3-7,44,307,6-7,4-2,4-0,8-0,
Marquette,Big East,13,13,19,96,23-8,14-6,9-2,7-5,8,18,8-7,5-1,4-0,6-0,
Baylor,Big 12,14,14,5,83,21-9,11-7,10-2,4-5,2,70,9-8,4-1,3-0,5-0,
Illinois,Big Ten,15,15,31,103,23-8,14-6,9-2,6-5,40,142,5-6,6-1,7-1,5-0,
Gonzaga,WCC,16,16,120,161,24-6,15-2,9-4,8-2,92,19,3-5,4-1,5-0,12-0,
Saint Mary's (CA),WCC,17,17,110,152,24-7,16-1,8-6,9-0,108,85,4-3,3-2,5-2,12-0,
Kansas,Big 12,18,18,7,85,21-9,10-8,11-1,3-7,1,35,7-8,6-0,4-1,4-0,
Kentucky,SEC,19,19,62,113,23-8,13-5,10-3,7-3,53,160,6-5,2-2,8-1,7-0,
San Diego St.,Mountain West,20,20,22,98,20-9,11-7,9-2,5-8,29,15,3-9,7-0,4-0,6-0,
Dayton,Atlantic 10,21,21,80,122,24-6,14-4,10-2,6-5,91,36,3-3,4-3,11-0,6-0,
Wisconsin,Big Ten,22,22,6,84,19-12,11-9,8-3,3-9,7,24,4-8,7-4,4-0,4-0,
Boise St.,Mountain West,23,23,54,110,20-9,13-5,7-4,7-3,55,30,6-4,3-5,3-0,8-0,
Michigan St.,Big Ten,24,25,8,86,18-13,10-10,8-3,3-7,18,39,3-8,5-5,6-0,4-0,
Texas,Big 12,25,24,38,105,20-11,9-9,11-2,4-6,13,204,5-9,3-1,5-1,7-0,
Clemson,ACC,26,26,16,95,21-10,11-9,10-1,6-6,46,63,5-5,5-3,6-2,5-0,
Colorado,Pac-12,27,27,67,115,22-9,13-7,9-2,4-7,86,256,2-5,7-4,6-0,7-0,
New Mexico,Mountain West,28,28,85,128,21-9,10-8,11-1,5-6,85,268,2-7,4-1,6-0,9-1,
Indiana St.,MVC,29,29,127,164,27-6,19-4,8-2,9-4,130,188,1-4,4-1,10-0,12-1,
Texas Tech,Big 12,30,30,38,105,22-9,11-7,11-2,4-6,43,305,5-8,4-1,6-0,7-0,
Nevada,Mountain West,31,31,98,137,25-6,13-5,12-1,8-3,90,246,7-5,2-0,6-1,10-0,
Villanova,Big East,32,33,25,99,17-14,10-10,7-4,4-8,15,75,4-10,5-1,3-3,5-0,
Utah St.,Mountain West,33,32,93,133,24-5,14-4,10-1,8-4,89,200,5-4,4-1,6-0,9-0,
Fla. Atlantic,AAC,34,34,90,131,24-7,14-4,10-3,5-5,96,50,2-2,8-3,8-0,6-2,
Florida,SEC,35,35,50,109,21-10,11-7,10-3,3-7,47,106,4-7,3-2,8-1,6-0,
Colorado St.,Mountain West,36,36,41,106,20-9,10-8,10-1,4-7,61,86,5-7,4-1,6-1,5-0,
Nebraska,Big Ten,37,37,65,114,22-9,12-8,10-1,3-8,71,301,4-6,4-3,7-0,7-0,
Wake Forest,ACC,38,38,65,114,19-12,11-9,8-3,2-9,72,254,2-5,6-6,5-1,6-0,
St. John's (NY),Big East,39,39,44,107,19-12,11-9,8-3,5-6,35,185,3-9,6-2,3-1,7-0,
TCU,Big 12,40,40,82,125,20-11,9-9,11-2,6-5,32,322,4-10,3-1,5-0,8-0,
Cincinnati,Big 12,41,41,41,106,18-13,7-11,11-2,4-7,37,321,3-10,3-1,3-2,9-0,
Mississippi St.,SEC,42,42,31,103,19-12,8-10,11-2,2-8,39,229,4-8,2-3,7-0,6-1,
Oklahoma,Big 12,43,43,50,109,20-11,8-10,12-1,3-6,21,271,4-11,5-0,3-0,8-0,
Pittsburgh,ACC,44,44,84,126,21-10,12-8,9-2,7-4,83,342,2-6,5-2,7-2,7-0,
Washington St.,Pac-12,45,45,82,125,23-8,14-6,9-2,6-4,87,298,6-3,3-4,6-1,8-0,
Texas A&M,SEC,46,46,46,108,18-13,9-9,9-4,6-6,17,21,5-6,6-3,2-4,5-0,
Drake,MVC,47,47,107,149,27-6,19-4,8-2,6-5,133,284,4-1,3-3,9-2,11-0,
Princeton,Ivy League,48,48,149,181,22-3,12-2,10-1,11-3,195,207,0-0,2-3,11-0,9-0,
South Carolina,SEC,49,49,90,131,25-6,13-5,12-1,8-3,74,282,4-4,7-0,5-2,9-0,
Northwestern,Big Ten,50,50,72,118,21-10,12-8,9-2,4-7,50,332,4-6,5-3,5-0,7-1,
Virginia,ACC,51,51,72,118,22-9,13-7,9-2,5-6,80,173,2-6,6-3,8-0,6-0,
Utah,Pac-12,52,52,25,99,18-13,9-11,9-2,2-9,42,27,4-8,4-3,5-2,5-0,
Grand Canyon,WAC,53,53,186,194,26-4,17-3,9-1,8-3,261,205,1-1,2-1,9-2,14-0,
