date,team,oppteam,location,teamscore,oppscore
11/6/2023,Saint Mary's (CA),Stanislaus St.,H,107,28
11/6/2023,William & Mary,Regent,H,84,29
11/6/2023,Houston,ULM,H,84,31
11/6/2023,Idaho St.,Warner Pacific,H,92,36
11/6/2023,Bowling Green,Chicago St.,H,70,41
11/6/2023,Southern Miss.,William Carey,H,64,42
11/6/2023,Tennessee,Tennessee Tech,H,80,42
11/6/2023,Liberty,Mid-Atlantic Christ.,H,103,43
11/6/2023,Chattanooga,Covenant,H,89,44
11/6/2023,George Washington,Stonehill,H,89,44
11/6/2023,Iowa St.,Green Bay,H,85,44
11/6/2023,UCLA,Saint Francis (PA),H,75,44
11/6/2023,Penn St.,Delaware St.,H,79,45
11/6/2023,Purdue,Samford,H,98,45
11/6/2023,Jacksonville,Johnson (FL),H,113,46
11/6/2023,Oregon St.,Linfield,H,82,46
11/6/2023,Kentucky,New Mexico St.,H,86,46
11/6/2023,Texas A&M,Tex. A&M-Commerce,H,78,46
11/6/2023,Troy,Fort Lauderdale,H,92,47
11/6/2023,Dayton,SIUE,H,63,47
11/6/2023,Hofstra,St. Joseph's (L.I.),H,101,48
11/6/2023,Kansas City,Avila,H,79,48
11/6/2023,Quinnipiac,Coast Guard,H,116,48
11/6/2023,Utah St.,South Dakota Mines,H,101,48
11/6/2023,Campbell,Navy,H,59,48
11/6/2023,Harvard,UMass Boston,H,78,50
11/6/2023,Virginia,Tarleton St.,H,80,50
11/6/2023,High Point,St. Andrews,H,105,51
11/6/2023,Sacred Heart,Sarah Lawrence,H,95,51
11/6/2023,UC Davis,Jessup,H,86,51
11/6/2023,UMass Lowell,Rivier,H,96,51
11/6/2023,Charlotte,Maine,H,69,52
11/6/2023,Illinois,Eastern Ill.,H,80,52
11/6/2023,Nebraska,Lindenwood,H,84,52
11/6/2023,Pittsburgh,N.C. A&T,H,100,52
11/6/2023,UConn,Northern Ariz.,H,95,52
11/6/2023,Omaha,Doane,H,85,53
11/6/2023,South Dakota,Mt. Marty,H,85,53
11/6/2023,Yale,Vassar,H,102,53
11/6/2023,South Carolina,USC Upstate,H,82,53
11/6/2023,Tulsa,Central Ark.,H,70,53
11/6/2023,Northwestern St.,Dallas Christian,H,101,54
11/6/2023,Stetson,Trinity Baptist,H,109,54
11/6/2023,Duke,Dartmouth,H,92,54
11/6/2023,Norfolk St.,Penn St.-Wilkes Barre,H,102,55
11/6/2023,North Florida,Coastal Ga.,H,92,55
11/6/2023,Butler,Eastern Mich.,H,94,55
11/6/2023,Marist,Army West Point,V,71,55
11/6/2023,New Mexico,Texas Southern,H,92,55
11/6/2023,Portland St.,Air Force,V,62,55
11/6/2023,Vermont,Merrimack,H,67,55
11/6/2023,Virginia Tech,Coppin St.,H,100,55
11/6/2023,ETSU,King (TN),H,73,56
11/6/2023,Illinois St.,Lourdes,H,75,56
11/6/2023,Clemson,Winthrop,H,78,56
11/6/2023,Kansas,N.C. Central,H,99,56
11/6/2023,Texas,UIW,H,88,56
11/6/2023,California Baptist,San Fran. St.,H,74,57
11/6/2023,Old Dominion,Va. Wesleyan,H,71,57
