Team,TeamScore,OppTeam,OppScore,Date
Virginia,42,Colorado State,67,2024-03-19
Howard,68,Wagner,71,2024-03-19
LSU,77,North Texas Mean,84,2024-03-19
Providence,57,Boston College,62,2024-03-19
Georgia,78,Xavier,76,2024-03-19
Ohio State,88,Cornell Big,83,2024-03-19
UCF,77,South Florida,83,2024-03-19
Virginia Tech,74,Richmond,58,2024-03-19
Butler,72,Minnesota Golden,73,2024-03-19
Iowa,91,Kansas State,82,2024-03-19
Utah,84,UC Irvine,75,2024-03-19
Tarleton State,82,Texas Southern,71,2024-03-19
Texas A&M-Corpus Christi,63,Abilene Christian,73,2024-03-19
