team,oppteam,upcoming_game,location,adj_off,adj_def,oppadj_off,oppadj_def,net,prevnet,avgoppnetrank,avgoppnet,netsos,netnonconfsos,wl,confrecord,nonconferencerecord,roadwl,quadrant1,quadrant2,quadrant3,quadrant4,oppnet,oppprevnet,oppavgoppnetrank,oppavgoppnet,oppnetsos,oppnetnonconfsos,oppwl,oppconfrecord,oppnonconferencerecord,opproadwl,oppquadrant1,oppquadrant2,oppquadrant3,oppquadrant4,weight,simulated_winner,team_win_percentage,oppteam_win_percentage,win_percentage
UConn,FAU,1,0,100,100,100,100,0,0,50,0,0,0,0.5,0.5,0.5,0.5,5,5,5,5,0,0,50,0,0,0,0.5,0.5,0.5,0.5,5,5,5,5,1,UConn,0.515,0.485,0.515
San Diego St.,Auburn,1,0,100,100,100,100,0,0,50,0,0,0,0.5,0.5,0.5,0.5,5,5,5,5,0,0,50,0,0,0,0.5,0.5,0.5,0.5,5,5,5,5,1,San Diego St.,0.504,0.496,0.504
BYU,Illinois,1,0,100,100,100,100,0,0,50,0,0,0,0.5,0.5,0.5,0.5,5,5,5,5,0,0,50,0,0,0,0.5,0.5,0.5,0.5,5,5,5,5,1,BYU,0.514,0.486,0.514
Wash. St.,Iowa St.,1,0,100,100,100,100,0,0,50,0,0,0,0.5,0.5,0.5,0.5,5,5,5,5,0,0,50,0,0,0,0.5,0.5,0.5,0.5,5,5,5,5,1,Wash. St.,0.513,0.487,0.513
N. Carolina,Miss. St.,1,0,100,100,100,100,0,0,50,0,0,0,0.5,0.5,0.5,0.5,5,5,5,5,0,0,50,0,0,0,0.5,0.5,0.5,0.5,5,5,5,5,1,Miss. St.,0.494,0.506,0.506
Saint Mary's,Alabama,1,0,100,100,100,100,0,0,50,0,0,0,0.5,0.5,0.5,0.5,5,5,5,5,0,0,50,0,0,0,0.5,0.5,0.5,0.5,5,5,5,5,1,Alabama,0.478,0.522,0.522
Clemson,Baylor,1,0,100,100,100,100,0,0,50,0,0,0,0.5,0.5,0.5,0.5,5,5,5,5,0,0,50,0,0,0,0.5,0.5,0.5,0.5,5,5,5,5,1,Clemson,0.516,0.484,0.516
Dayton,Arizona,1,0,100,100,100,100,0,0,50,0,0,0,0.5,0.5,0.5,0.5,5,5,5,5,0,0,50,0,0,0,0.5,0.5,0.5,0.5,5,5,5,5,1,Dayton,0.518,0.482,0.518
Houston,Nebraska,1,0,100,100,100,100,0,0,50,0,0,0,0.5,0.5,0.5,0.5,5,5,5,5,0,0,50,0,0,0,0.5,0.5,0.5,0.5,5,5,5,5,1,Nebraska,0.497,0.503,0.503
Wisconsin,Duke,1,0,100,100,100,100,0,0,50,0,0,0,0.5,0.5,0.5,0.5,5,5,5,5,0,0,50,0,0,0,0.5,0.5,0.5,0.5,5,5,5,5,1,Wisconsin,0.511,0.489,0.511
Texas Tech,Kentucky,1,0,100,100,100,100,0,0,50,0,0,0,0.5,0.5,0.5,0.5,5,5,5,5,0,0,50,0,0,0,0.5,0.5,0.5,0.5,5,5,5,5,1,Kentucky,0.482,0.518,0.518
Florida,Marquette,1,0,100,100,100,100,0,0,50,0,0,0,0.5,0.5,0.5,0.5,5,5,5,5,0,0,50,0,0,0,0.5,0.5,0.5,0.5,5,5,5,5,1,Florida,0.502,0.498,0.502
Purdue,Utah St.,1,0,100,100,100,100,0,0,50,0,0,0,0.5,0.5,0.5,0.5,5,5,5,5,0,0,50,0,0,0,0.5,0.5,0.5,0.5,5,5,5,5,1,Purdue,0.511,0.489,0.511
Gonzaga,Kansas,1,0,100,100,100,100,0,0,50,0,0,0,0.5,0.5,0.5,0.5,5,5,5,5,0,0,50,0,0,0,0.5,0.5,0.5,0.5,5,5,5,5,1,Gonzaga,0.505,0.495,0.505
S. Carolina,Creighton,1,0,100,100,100,100,0,0,50,0,0,0,0.5,0.5,0.5,0.5,5,5,5,5,0,0,50,0,0,0,0.5,0.5,0.5,0.5,5,5,5,5,1,S. Carolina,0.509,0.491,0.509
Texas,Tennessee,1,0,100,100,100,100,0,0,50,0,0,0,0.5,0.5,0.5,0.5,5,5,5,5,0,0,50,0,0,0,0.5,0.5,0.5,0.5,5,5,5,5,1,Tennessee,0.474,0.526,0.526
