Date,Team1,Team2
2024-03-19,South Carolina,Oregon
2024-03-19,Dayton,Nevada
2024-03-19,Texas,Virginia/Colorado State
2024-03-19,Kentucky,Oakland
2024-03-19,Gonzaga,McNeese
2024-03-19,Iowa State,South Dakota State
2024-03-19,Tennessee,Saint Peter’s
2024-03-19,Texas Tech,NC State
2024-03-19,Kansas,Samford
2024-03-19,Washington State,Drake
2024-03-19,Florida Atlanta,Northwestern
2024-03-19,Baylor,Colgate
2024-03-19,San Diego State,UAB
2024-03-19,Marquette,Western Kentucky
2024-03-19,UConn,Stetson
2024-03-19,Clemson,New Mexico
2024-03-19,Auburn,Yale
2024-03-19,Florida,Boise State /Colorado
2024-03-19,Nebraska,Texas A&amp;M
2024-03-19,Duke,Vermont
2024-03-19,Alabama,Charleston
2024-03-19,Wisconsin,James Madison
2024-03-19,Utah State,TCU
2024-03-19,Saint Mary’s,Grand Canyon
