team1,team2
South Carolina,Oregon
Dayton,Nevada
Texas,Virginia/Colorado State
Kentucky,Oakland
Gonzaga,McNeese
Iowa State,South Dakota State
Tennessee,Saint Peter’s
Texas Tech,NC State
Kansas,Samford
Washington State,Drake
Florida Atlanta,Northwestern
Baylor,Colgate
San Diego State,UAB
Marquette,Western Kentucky
UConn,Stetson
Clemson,New Mexico
Auburn,Yale
Florida,Boise State /Colorado
Nebraska,Texas A&amp;M
Duke,Vermont
Alabama,Charleston
Wisconsin,James Madison
Utah State,TCU
Saint Mary’s,Grand Canyon
